,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
165,CU,2024-05-11,74.4,-2.0,6.19,"Walker, Taijuan",660644,592836,field_out,hit_into_play,,,,,5,"Vidal Bruján grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",R,L,R,MIA,PHI,X,1,ground_ball,2,2,2024,0.82,-0.63,-0.15,2.26,,,624503,2,6,Bot,123.44,188.56,,,592663,,,2.337479775859997,-108.3097702840108,0.3133971124084755,5.971628014076766,20.76062009980537,-37.42842581218316,3.3,1.55,1,50.8,-70,73.6,2302,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.64,0.203,0.196,0.0,1,0,0,1,51,6,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,51,-0.024,-0.182,,
179,FS,2024-05-11,85.9,-2.0,6.24,"Walker, Taijuan",660644,592836,,foul,,,,,8,"Vidal Bruján grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",R,L,R,MIA,PHI,S,,,2,2,2024,-0.69,-0.24,-0.2,1.58,,,624503,2,6,Bot,,,,,592663,,,5.607740286869542,-125.05414054472422,-4.333162198330138,-8.32623918838423,23.829192283083533,-34.02001661681999,3.3,1.55,1,65.1,-52,85.6,1389,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.56,,,,,,,,51,5,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,231,0.0,0.0,62.038091138031085,7.37055
204,SI,2024-05-11,91.5,-1.65,6.27,"Walker, Taijuan",660644,592836,,ball,,,,,12,"Vidal Bruján grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",R,L,R,MIA,PHI,B,,,1,2,2024,-1.28,0.93,0.98,2.86,,,624503,2,6,Bot,,,,,592663,,,9.341019563156507,-132.8645582201834,-4.704784490499914,-17.197126407055734,29.79879274412613,-20.254570336282733,3.3,1.63,,,,90.9,1813,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.36,,,,,,,,51,4,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,218,0.0,0.034,,
236,SI,2024-05-11,90.1,-1.87,6.18,"Walker, Taijuan",660644,592836,,called_strike,,,,,9,"Vidal Bruján grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",R,L,R,MIA,PHI,S,,,1,1,2024,-1.36,0.91,0.29,1.46,,,624503,2,6,Bot,,,,,592663,,,8.185309576997572,-130.84980306220112,-7.610765814193695,-17.32563653438494,27.841723243725426,-20.294918692248302,3.29,1.54,,,,89.5,1805,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.45,,,,,,,,51,3,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,218,0.0,-0.052,,
258,FS,2024-05-11,86.9,-2.08,6.27,"Walker, Taijuan",660644,592836,,ball,,,,,11,"Vidal Bruján grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",R,L,R,MIA,PHI,B,,,0,1,2024,-1.1,0.12,-1.37,2.97,,,624503,2,6,Bot,,,,,592663,,,3.924487054420474,-126.49196410615224,-1.954461977123284,-12.65490373467483,26.164111531723567,-30.712706471112764,3.28,1.53,,,,86.4,1344,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.49,,,,,,,,51,2,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,226,0.0,0.026,,
268,SI,2024-05-11,91.2,-1.86,6.3,"Walker, Taijuan",660644,592836,,called_strike,,,,,5,"Vidal Bruján grounds out, pitcher Taijuan Walker to first baseman Bryce Harper.",R,L,R,MIA,PHI,S,,,0,0,2024,-1.24,1.08,-0.07,2.27,,,624503,2,6,Bot,,,,,592663,,,7.140722793936304,-132.48808424919497,-6.506257342193409,-16.17778979283834,28.76175314691832,-18.23096644832079,3.41,1.7,,,,90.6,1850,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.43,,,,,,,,51,1,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,221,0.0,-0.041,,
310,FS,2024-05-11,85.0,-2.04,6.16,"Walker, Taijuan",624503,592836,single,hit_into_play,,,,,13,Nick Gordon singles on a ground ball to center fielder Johan Rojas.,R,L,R,MIA,PHI,X,8,ground_ball,1,2,2024,-0.7,0.14,-1.23,1.99,,,,2,6,Bot,127.07,148.62,,,592663,,,3.286148807247929,-123.8317275424845,-3.732117313047232,-7.837096255509117,24.692393575798604,-30.211012812381423,3.63,1.69,15,88.4,-6,84.6,1288,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.52,0.194,0.188,0.9,1,1,0,2,50,4,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,230,0.014,0.151,65.75497587834158,7.73986
312,FS,2024-05-11,85.2,-2.17,6.14,"Walker, Taijuan",624503,592836,,ball,,,,,11,Nick Gordon singles on a ground ball to center fielder Johan Rojas.,R,L,R,MIA,PHI,B,,,0,2,2024,-0.64,0.06,-2.4,2.92,,,,2,6,Bot,,,,,592663,,,0.7490459003628553,-124.18818868295745,-1.4131882094285846,-6.759640396269216,24.67204968225764,-31.485040749072255,3.66,1.72,,,,84.7,1057,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.62,,,,,,,,50,3,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,233,0.0,0.007,,
339,FC,2024-05-11,84.2,-1.87,6.31,"Walker, Taijuan",624503,592836,,foul,,,,,14,Nick Gordon singles on a ground ball to center fielder Johan Rojas.,R,L,R,MIA,PHI,S,,,0,1,2024,0.37,0.71,1.08,2.11,,,,2,6,Bot,,,,,592663,,,6.057915409559837,-122.53342375072424,-4.772124358640349,2.578936866789688,23.16916387732702,-24.25146869525928,3.63,1.69,6,77.5,-21,83.8,2295,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.61,,,,,,,,50,2,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,177,0.0,-0.021,68.35588189381957,8.01021
388,FS,2024-05-11,85.7,-1.96,6.11,"Walker, Taijuan",624503,592836,,foul,,,,,8,Nick Gordon singles on a ground ball to center fielder Johan Rojas.,R,L,R,MIA,PHI,S,,,0,0,2024,-0.62,-0.13,-0.21,1.93,,,,2,6,Bot,,,,,592663,,,5.334684781880607,-124.79125464535828,-3.361679139912792,-7.501122495421187,23.96166422296579,-33.1073559038984,3.63,1.69,,,,85.4,1184,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.57,,,,,,,,50,1,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,233,0.0,-0.013,66.05148122286975,8.18593
