PLAYER,POS,Year,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)","OFF DRIBBLE
COLLEGE
BREAK LEFT","OFF DRIBBLE
COLLEGE
BREAK RIGHT","OFF DRIBBLE
COLLEGE
TOP KEY","OFF DRIBBLE
FIFTEEN
BREAK LEFT","OFF DRIBBLE
FIFTEEN
BREAK RIGHT","OFF DRIBBLE
FIFTEEN
TOP KEY","ON THE
MOVE
COLLEGE","ON THE
MOVE
FIFTEEN"
Michael Ajayi,SF,2024,-%,9.5,9.75,6' 5.75'',,8' 10.50'',227.8,7' 0.75'',11.77,3.17,3.21,27,34.5,-,50.00%,-,-,-,-,-,52.00%,-
Melvin Ajinca,SF,2024,-%,8.5,9.75,6' 7.25'',,8' 10.5'',213.8,6' 7.5'',11.78,3,3.38,26.5,31,-,-,-,-,-,-,-,-,-
Trey Alexander,SG,2024,-%,8.75,10,6' 3.25'',,8' 5.50'',187,6' 10.50'',11.37,2.92,3.21,26.5,32,-,70.00%,-,-,-,-,-,52.00%,-
Izan Almansa,C,2024,-%,9.25,9.25,6' 9.25'',,9' 2.00'',219.6,7' 1.00'',10.94,2.96,3.11,28,35,-,63.30%,-,-,-,-,-,32.00%,-
Reece Beekman,PG,2024,-%,8.5,9,6' 1.25'',,8' 4.00'',196.4,6' 6.50'',10.86,3.08,2.94,30,36.5,-,73.30%,-,-,-,-,-,64.00%,-
Adem Bona,C,2024,-%,9.5,10,6' 8.25'',,9' 0.00'',243.2,7' 3.75'',11.01,3.01,3.15,35,40,-,63.30%,-,-,-,-,-,-,-
Trevon Brazile,PF,2024,-%,9,10.25,6' 9.25'',,9' 0.50'',215,7' 3.75'',11.15,3.01,3.09,33,41,-,53.30%,-,-,-,-,-,52.00%,-
Jalen Bridges,SF,2024,-%,9,10,6' 6.75'',,8' 9.00'',213.4,6' 10.00'',11.14,3,3.16,25,32,-,70.00%,-,-,-,-,-,60.00%,-
Matas Buzelis,SF,2024,-%,8.5,9.25,6' 8.75'',,8' 9.50'',197,6' 10.00'',10.73,2.9,3.09,31,38,-,56.70%,-,-,-,-,-,52.00%,-
Carlton Carrington,PG,2024,-%,8.5,9.25,6' 3.75'',,8' 3.00'',194.8,6' 8.00'',11.28,2.99,3.16,28.5,36.5,-,70.00%,-,-,-,-,-,52.00%,-
