Player,Team,Plays,EPA+CPOE composite,Adj. EPA/play,EPA/play,Success rate,Cmp%,Expected cmp%,CPOE,Air yards,Year,HC,OC,QBC
K.Murray,ARI,341,0.055,0.064,0.03,44.00%,67.2,69.5,-2.3,7.2,2023,J. Gannon,D. Petzing,I. Woolfork
K.Murray,ARI,493,0.051,0.032,0.026,44.40%,69.6,70.5,-0.8,7,2022,K. Kingsbury,S. Whipple,C. Turner
K.Murray,ARI,625,0.123,0.151,0.132,49.30%,72.2,68,4.2,7.9,2021,K. Kingsbury,S. Whipple,C. Turner
D.Ridder,ATL,482,0.029,-0.028,-0.061,47.10%,66.4,67.7,-1.3,8.3,2023,A. Smith,D. Ragone,N/A
M.Mariota,ATL,416,0.072,0.084,0.073,49.50%,63.4,64.1,-0.6,10.5,2022,A. Smith,D. Ragone,C. London
M.Ryan,ATL,663,0.071,0.046,0.031,47.40%,69.2,67.4,1.8,7.2,2021,A. Smith,D. Ragone,C. London
L.Jackson,BAL,671,0.119,0.15,0.135,50.80%,69.6,66.1,3.5,8.7,2023,J. Harbaugh,T. Monken,T. Martin
L.Jackson,BAL,475,0.084,0.117,0.109,49.30%,65.7,66.3,-0.6,8.5,2022,J. Harbaugh,G. Roman,J. Urban
L.Jackson,BAL,563,0.084,0.098,0.084,49.60%,66.3,65.6,0.7,9.4,2021,J. Harbaugh,G. Roman,J. Urban
J.Allen,BUF,742,0.145,0.197,0.193,52.00%,70.6,65.6,5,8.6,2023,S. McDermott,J. Brady,N/A
J.Allen,BUF,741,0.136,0.231,0.22,53.00%,66,65,0.9,9.2,2022,S. McDermott,K. Dorsey,J. Brady
J.Allen,BUF,825,0.121,0.176,0.169,51.50%,66.6,64.5,2.1,8.5,2021,S. McDermott,B. Daboll,K. Dorsey
B.Young,CAR,660,0.016,-0.139,-0.178,38.80%,66.2,67.6,-1.4,7.6,2023,F. Reich,T. Brown,J. McCown
J.Fields,CHI,550,0.054,0.013,-0.009,41.30%,67,66.2,0.8,7.9,2023,M. Eberflus,L. Getsy,A. Janocko
J.Fields,CHI,550,0.045,0.04,0.032,45.30%,63.4,65.8,-2.5,8.9,2022,M. Eberflus,L. Getsy,A. Janocko
J.Fields,CHI,395,0.014,-0.104,-0.126,42.50%,60.9,62.9,-2,9.7,2021,M. Nagy,B. Lazor,J. DeFilippo
J.Burrow,CIN,426,0.069,0.048,0.037,47.90%,69.5,68.3,1.2,6.5,2023,Z. Taylor,B. Callahan,D. Pitcher
J.Burrow,CIN,740,0.127,0.181,0.165,51.20%,70.2,67.4,2.7,6.9,2022,Z. Taylor,B. Callahan,D. Pitcher
J.Burrow,CIN,637,0.163,0.218,0.186,49.30%,72.3,65.6,6.7,8.3,2021,Z. Taylor,B. Callahan,D. Pitcher
J.Brissett,CLE,464,0.105,0.121,0.115,48.30%,67.2,64.4,2.9,8.5,2022,K. Stefanski,A. Van Pelt,D. Petzing
B.Mayfield,CLE,515,0.048,0.051,0.044,44.90%,63.3,65.9,-2.7,8.7,2021,K. Stefanski,A. Van Pelt,D. Petzing
D.Prescott,DAL,719,0.164,0.262,0.245,52.60%,70.6,66.6,3.9,7.8,2023,M. McCarthy,B. Schottenheimer,S. Tolzien
D.Prescott,DAL,472,0.113,0.183,0.154,52.50%,67.3,67.2,0.1,8.3,2022,M. McCarthy,K. Moore,D. Nussmeier
D.Prescott,DAL,709,0.112,0.149,0.137,49.60%,70,67.6,2.4,7.7,2021,M. McCarthy,K. Moore,D. Nussmeier
R.Wilson,DEN,589,0.095,0.066,0.045,45.80%,71.6,66.7,4.9,7,2023,S. Payton,J. Lombardi,D. Webb
R.Wilson,DEN,626,0.041,0.006,-0.005,40.90%,64.3,65.4,-1.1,8.8,2022,N. Hackett,J. Outten,K. Kubiak
T.Bridgewater,DEN,500,0.128,0.168,0.157,49.00%,70.4,66.5,3.9,8,2021,V. Fangio,P. Shurmur,M. Shula
J.Goff,DET,668,0.108,0.152,0.127,49.70%,71,69.8,1.3,7,2023,D. Campbell,Be. Johnson,M. Brunell
J.Goff,DET,664,0.109,0.194,0.171,49.20%,68,69.3,-1.4,7.1,2022,D. Campbell,Be. Johnson,M. Brunell
J.Goff,DET,569,0.039,-0.031,-0.048,46.20%,71.1,70.5,0.6,6.6,2021,D. Campbell,Be. Johnson,M. Brunell
J.Love,GB,676,0.111,0.163,0.156,47.60%,66.5,65.4,1.1,8.5,2023,Ma. LaFleur,A. Stenavich,T. Clements
A.Rodgers,GB,624,0.068,0.059,0.039,46.60%,67.3,66.8,0.5,8.2,2022,Ma. LaFleur,A. Stenavich,T. Clements
A.Rodgers,GB,609,0.176,0.265,0.259,52.10%,71.8,65.9,5.8,7.8,2021,Ma. LaFleur,N. Hackett,L. Getsy
C.Stroud,HOU,594,0.095,0.135,0.124,47.30%,67,66.8,0.2,9.1,2023,D. Ryans,B. Slowik,J. Johnson
D.Mills,HOU,564,0.007,-0.071,-0.105,38.80%,63.1,66.9,-3.8,7.7,2022,L. Smith,P. Hamilton,T. White
