Name,Andy,Jason,Mike,EPA+CPOE Composite,Adj. EPA/Play,EPA/Play,Success Rate,Cmp%,Expected Cmp%,CPOE,Air Yards
Josh Allen,1,1,1,0.145,0.197,0.193,52,70.6,65.6,5,8.6
Jalen Hurts,2,2,2,0.124,0.158,0.139,48.70,70.4,66.6,3.8,8.5
Lamar Jackson,4,4,3,0.119,0.15,0.135,50.80,69.6,66.1,3.5,8.7
Patrick Mahomes,3,3,6,0.115,0.152,0.134,48.90,71.4,68.6,2.7,6.6
Kyler Murray,6,8,4,0.055,0.064,0.03,44.00,67.2,69.5,-2.3,7.2
Dak Prescott,5,7,8,0.164,0.262,0.245,52.60,70.6,66.6,3.9,7.8
Anthony Richardson,8,9,5,0.023,0.058,0.057,43.40,61.7,69.4,-7.7,8
Joe Burrow,10,6,7,0.069,0.048,0.037,47.90,69.5,68.3,1.2,6.5
CJ Stroud,7,5,11,0.095,0.135,0.124,47.30,67,66.8,0.2,9.1
Jordan Love,9,12,9,0.111,0.163,0.156,47.60,66.5,65.4,1.1,8.5
Jayden Daniels,11,11,13,,,,,,,,
Brock Purdy,12,14,12,0.204,0.36,0.338,56.40,72.1,66.7,5.4,8.1
Justin Herbert,14,10,15,0.073,0.084,0.081,46.80,67,67.4,-0.3,7.6
Tua Tagovailoa,16,13,10,0.139,0.187,0.16,50.00,71.5,67,4.5,7.8
Jared Goff,18,18,14,0.108,0.152,0.127,49.70,71,69.8,1.3,7
Trevor Lawrence,13,15,22,0.083,0.092,0.071,48.80,67,66.1,0.9,8.2
Deshaun Watson,19,16,19,0.052,0.025,-0.021,42.20,63.6,64,-0.3,9.2
Matthrew Stafford,20,19,16,0.081,0.137,0.123,46.80,65.9,68.4,-2.6,7.9
Caleb Williams,15,21,24,,,,,,,,
Kirk Cousins,17,22,23,0.134,0.177,0.145,48.20,71.5,67.2,4.3,7.2
Geno Smith,24,23,17,0.089,0.086,0.082,48.80,68.4,66,2.4,7.2
Baker Mayfield,21,25,18,0.096,0.137,0.131,45.90,66.4,66.2,0.2,8.5
Aaron Rodgers,26,20,21,0.035,-0.389,-0.389,33.30,,,0,
Daniel Jones,23,17,27,0.026,-0.154,-0.211,41.70,70.6,70.3,0.3,7
Russell Wilson,22,28,20,0.095,0.066,0.045,45.80,71.6,66.7,4.9,7
Will Levis,25,26,28,0.04,-0.01,-0.033,42.50,60.3,60.7,-0.4,10.7
Derek Carr,27,27,25,0.087,0.071,0.05,46.70,71.7,68.7,3,8
Sam Darnold,32,24,26,0.061,0.068,0.068,52.40,63.6,65.1,-1.4,8.4
Bryce Young,29,29,29,0.016,-0.139,-0.178,38.80,66.2,67.6,-1.4,7.6
Gardner Minshew,30,30,30,0.038,0.033,0.022,43.40,65.6,68.9,-3.3,7.4
Bo Nix,31,31,31,,,,,,,,
Jacoby Brissett,28,33,33,0.383,0.742,0.742,56.70,81.8,64.2,17.7,8
Drake Maye,33,32,32,,,,,,,,
