id.1,first_name,last_name,short_name,birthday,trackable_object,gender,player_role.id,player_role.name,player_role.acronym
18534,David,McGoldrick,D. McGoldrick,1987-11-29,18731,male,9,Left Midfield,LM
18651,Oliver,Burke,O. Burke,1997-04-07,18848,male,15,Center Forward,CF
11773,Takumi,Minamino,T. Minamino,1995-01-16,11879,male,15,Center Forward,CF
2766,Diogo José,Teixeira da Silva,Diogo Jota,1996-12-04,2776,male,13,Right Winger,RW
4673,James,Milner,J. Milner,1986-01-04,4683,male,9,Left Midfield,LM
8655,Phil,Jagielka,P. Jagielka,1982-08-17,8665,male,17,Substitute,SUB
12505,Oliver,Norwood,O. Norwood,1991-04-12,12657,male,17,Substitute,SUB
24459,Michael,Verrips,M. Verrips,1996-12-03,25480,male,17,Substitute,SUB
4589,Jack,Robinson,J. Robinson,1993-09-01,4599,male,17,Substitute,SUB
18531,Billy,Sharp,B. Sharp,1986-02-05,18728,male,17,Substitute,SUB
12029,Sander Gard,Bolin Berge,S. Berge,1998-02-14,12140,male,10,Right Midfield,RM
13074,Oliver,McBurnie,O. McBurnie,1996-06-04,13254,male,16,Right Forward,RF
13017,John,Egan,J. Egan,1992-10-20,13195,male,2,Center Back,CB
18527,George,Baldock,G. Baldock,1993-03-09,18724,male,6,Right Wing Back,RWB
3098,Enda,Stevens,E. Stevens,1990-07-09,3108,male,3,Left Center Back,LCB
11632,Ethan,Ampadu,E. Ampadu,2000-09-14,11723,male,7,Defensive Midfield,DM
1780,Chris,Basham,C. Basham,1988-07-20,1790,male,4,Right Center Back,RCB
18566,Ben,Osborn,B. Osborn,1994-08-05,18763,male,5,Left Wing Back,LWB
14040,Aaron,Ramsdale,A. Ramsdale,1998-05-14,14237,male,0,Goalkeeper,GK
18529,John ,Lundstram,J. Lundstram,1994-02-18,18726,male,9,Left Midfield,LM
12172,Rhian Joel,Brewster,R. Brewster,2000-04-01,12315,male,15,Center Forward,CF
10936,Xherdan,Shaqiri,X. Shaqiri,1991-10-10,10946,male,17,Substitute,SUB
24614,Neco,Williams,N. Williams,2001-04-13,25648,male,17,Substitute,SUB
12084,Nathaniel,Phillips,N. Phillips,1997-03-21,12225,male,17,Substitute,SUB
11754,Curtis,Jones,C. Jones,2001-01-30,11855,male,17,Substitute,SUB
264,Adrián,San Miguel del Castillo,Adrián,1987-01-03,274,male,17,Substitute,SUB
11746,Trent,Alexander-Arnold,T. Alexander-Arnold,1998-10-07,11847,male,6,Right Wing Back,RWB
9439,Sadio,Mané,S. Mané,1992-04-10,9449,male,12,Left Winger,LW
7735,Mohamed ,Salah Ghaly,Mohamed Salah,1992-06-15,7745,male,15,Center Forward,CF
5308,Jordan,Henderson,J. Henderson,1990-06-17,5318,male,10,Right Midfield,RM
11475,Joe,Gomez,J. Gomez,1997-05-23,11537,male,3,Left Center Back,LCB
3837,Georginio,Wijnaldum,G. Wijnaldum,1990-11-11,3847,male,9,Left Midfield,LM
3257,Fábio Henrique,Tavares,Fabinho,1993-10-23,3267,male,4,Right Center Back,RCB
11499,Alisson Ramsés,Becker,Alisson,1992-10-02,11565,male,0,Goalkeeper,GK
841,Andrew,Robertson,A. Robertson,1994-03-11,851,male,5,Left Wing Back,LWB
9133,Roberto Firmino,Barbosa de Oliveira,Roberto Firmino,1991-10-02,9143,male,11,Attacking Midfield,AM
6649,Marc,Albrighton,M. Albrighton,1989-11-18,6659,male,12,Left Winger,LW
11665,Cengiz,Ünder,C. Ünder,1997-07-14,11761,male,11,Attacking Midfield,AM
4700,Jamie,Vardy,J. Vardy,1987-01-11,4710,male,15,Center Forward,CF
11659,Eddie,Nketiah,E. Nketiah,1999-05-30,11754,male,15,Center Forward,CF
20208,Bukayo,Saka,B. Saka,2001-09-05,20421,male,14,Left Forward,LF
